"Link","Type","Title","Description","By","Country","Rating","Categories","Colors"
"https://www.awwwards.com/sites/kepner-tregoe","Nominees","Kepner Tregoe","Website for Mercedes Dealer",NA,"Ukraine",NA,"Business & Corporate,E-Commerce,Web & Interactive,Clean,Forms and Input,Content architecture,Interaction Design,UI design,Contentful,HTML5,PHP,After Effects,Javascript,Figma,Adobe XD",""
"https://www.awwwards.com/sites/devotion-to-coffee","Nominees","Devotion to coffee","Franco Manca",NA,"Italy",NA,"Food & Drink,Colorful,Graphic design,Menu - Horizontal,Responsive,CSS,jQuery,PHP,Bootstrap,Swiper.js",""
"https://www.awwwards.com/sites/replay-1","Nominees","Replay","Niftypays",NA,"United States",NA,"Technology,Web & Interactive,Startups,Animation,Clean,Icons,Microinteractions,HTML5,Lottie,Webflow,Figma,Adobe Photoshop,Adobe Illustrator",""
"https://www.awwwards.com/sites/design-system-of-rostelecom","Nominees","Design-system of Rostelecom","OneShotMove Moving Company",NA,"Russia",NA,"Business & Corporate,Web & Interactive,Graphic design,Navigation Menu,Responsive Design,UI design,Node.js,React,Figma",""
"https://www.awwwards.com/sites/rtk-it","Nominees","RTK IT","proun digital agency",NA,"Russia",NA,"Business & Corporate,Design Agencies,E-Commerce,Clean,Portfolio,UI design,PHP,Angular,Figma",""
"https://www.awwwards.com/sites/jopecuro-full-stack-designer","Nominees","Jopecuro - Full Stack Designer","DigitlHaus Agency",NA,"Portugal",NA,"Other,Web & Interactive,Animation,Interaction Design,UI design,CSS,HTML5,Javascript",""
"https://www.awwwards.com/sites/amnis","Nominees","Amnis","Wanted for Nothing",NA,"Ukraine",NA,"Other,Startups,Clean,Graphic design,Icons,Responsive Design,Illustration,UI design,Wordpress,CSS,HTML5,jQuery",""
"https://www.awwwards.com/sites/leo-burnett","Nominees","Leo Burnett","JPahissa",NA,"United States",NA,"Business & Corporate,Design Agencies,Animation,Minimal,Parallax,Responsive Design,Filters and Effects,Wordpress,React,GraphQL,Framer Motion,Javascript,Next.js",""
"https://www.awwwards.com/sites/listacross","Nominees","ListAcross","The State of Independence",NA,"United States",NA,"E-Commerce,Mobile & Apps,Startups,3D",""
"https://www.awwwards.com/sites/create-athens","Nominees","Create Athens","CHAMBA",NA,"Greece",NA,"E-Commerce,Events,Food & Drink,Clean,Minimal,Navigation Menu,Typography,Transitions,Interaction Design,Wordpress,GSAP Animation,BARBA.js,Sass,Adobe Photoshop",""
"https://www.awwwards.com/sites/columbi-farms","Nominees","Columbi Farms","Bambora",NA,"Norway",NA,"Business & Corporate,Startups,Clean,Parallax,Responsive Design,Menu - Horizontal,Microinteractions,404 pages,Nginx,Craft CMS,Lottie",""
"https://www.awwwards.com/sites/asian-legacy-library","Nominees","Asian Legacy Library","REDNECK media",NA,"United States",NA,"Culture & Education,Web & Interactive,Social responsibility,Animation,Big Background Images,Parallax,Responsive Design,Transitions,UI design,Wordpress,CSS,HTML5,jQuery,PHP,Figma",""
"https://www.awwwards.com/sites/maki","Nominees","Maki","TruScholar",NA,"France",NA,"Technology,Web & Interactive,Startups,Animation,Clean,Responsive Design,Illustration,Responsive,UI design,CSS,HTML5,Webflow,Javascript,Figma",""
"https://www.awwwards.com/sites/urban-jeep-tour","Nominees","Urban Jeep Tour","Quality Excites conference",NA,"Russia",NA,"Culture & Education,Events,Promotional,Animation,Fullscreen,Minimal,Parallax,Photo & Video,Microinteractions,Wordpress",""
"https://www.awwwards.com/sites/d-istinkt","Nominees","d:istinkt","We Design Demand",NA,"United States",NA,"Promotional,Scrolling,Typography,3D,WebGL,GSAP Animation",""
"https://www.awwwards.com/sites/dozanu-innovations","Nominees","dozanü innovations","Lemon Scuad",NA,"United States",NA,"Business & Corporate,Design Agencies,Web & Interactive,Animation,Icons,Video,Gestures / Interaction,Photo & Video,About Page,Typekit,Webflow,Adobe Photoshop,Adobe Illustrator",""
"https://www.awwwards.com/sites/accessboost-1","Nominees","AccessBoost","Duck Design Studio 2021",NA,"Brazil",NA,"Culture & Education,Web & Interactive,Responsive Design,SEO,Copy design,Interaction Design,UI design,CSS,HTML5,After Effects,Adobe Photoshop,Adobe Illustrator",""
