"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @HunterxObi: I've been told that our new partners need some experienced Axie Infinity players. Should we do a giveaway for an Axie schol…",FALSE,0,NA,2021-12-27 12:36:04,FALSE,NA,"1475445375695994885",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Jovelyn11_Fil",13,TRUE,FALSE,NA,NA
"@kthclmnt 50/50 is enough kaya nga 50/50 para fair yung iba nga 60/40 or 70/30 sobrang laki na niya paano pa kaya k… https://t.co/JuCewRff9R",FALSE,3,"kthclmnt",2021-12-27 12:35:56,TRUE,"1475401575422390276","1475445341894082570","1405515935851585542","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","yy_yre",0,FALSE,FALSE,NA,NA
"RT @tuff_terry: @CLinkSol I’ll definitely let you know when I get a chance to play it! I’ve bought a few still in development but tried out…",FALSE,0,NA,2021-12-27 12:33:34,FALSE,NA,"1475444747099459586",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","CLinkSol",1,TRUE,FALSE,NA,NA
"RT @nixeniego: Axie Infinity had the craziest growth back in July of this year.

We saw $SLP hitting an all-time high of $0.40 usd (P20 php…",FALSE,0,NA,2021-12-27 12:32:33,FALSE,NA,"1475444488101236738",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Berbsssss",154,TRUE,FALSE,NA,NA
"@RTgiveaway69 Here is my application for a Axie Infinity Scholarship.

Name: Jocelyn Alingasa
Age: 30
Gender: Femal… https://t.co/nKlu0UrQAA",FALSE,0,"RTgiveaway69",2021-12-27 12:31:03,TRUE,"1475087194276896771","1475444114351087623","1309470683966001154","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","IndinoJocelyn",0,FALSE,FALSE,NA,NA
"@alqsyy hi I want to sell my NFT if you are interested you can directly click on the link, this NFT is like Axie in… https://t.co/VAUe5e8TeN",FALSE,1,"alqsyy",2021-12-27 12:30:57,TRUE,"1475395609930522627","1475444088342081538","1060756392733102081","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Iwanjr33",0,FALSE,FALSE,NA,NA
"@DonLeung_ Good Day Manager! Uni Pios the one who is hoping to be a scholar. I'm really want to be a part of your s… https://t.co/zJwELkTJb9",FALSE,2,"DonLeung_",2021-12-27 12:29:30,TRUE,"1475413920097525762","1475443724083625987","1187072004941180930","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","UniPios",0,FALSE,FALSE,NA,NA
"@kthclmnt Good Day Manager! Uni Pios the one who is hoping to be a scholar. I'm really want to be a part of your sc… https://t.co/xmVv9oc3o8",FALSE,0,"kthclmnt",2021-12-27 12:29:11,TRUE,"1475430030998392837","1475443640994467840","1405515935851585542","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","UniPios",0,FALSE,FALSE,NA,NA
"@TomoChainANN @infinity_arena Many of us as blockchain gamers have experienced the continual bugs of games that hit… https://t.co/kwmf4WPiUL",FALSE,0,"TomoChainANN",2021-12-27 12:28:31,TRUE,"1475398036025012227","1475443473474064384","933165746653245441","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Vyach235",0,FALSE,FALSE,NA,NA
"RT @gocholive: SORTEO FIN DE AÑO CON GOCHO Y AXIE INFINITY
 10 $AXS <U+0001F9D1><U+200D><U+0001F384><U+0001F9D1><U+200D><U+0001F384><U+0001F9D1><U+200D><U+0001F384><U+0001F9D1><U+200D><U+0001F384><U+0001F9D1><U+200D><U+0001F384><U+0001F9D1><U+200D><U+0001F384><U+0001F9D1><U+200D><U+0001F384>

PARA PARTICIPAR: 
<U+2705>SEGUIRME 
<U+2705>SEGUIR @AxieInfini…",FALSE,0,NA,2021-12-27 12:28:00,FALSE,NA,"1475443345824563200",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","alejand30112970",1037,TRUE,FALSE,NA,NA
